age,gender,height_cm,weight_kg,workout_days_per_week,daily_calories,protein_intake_g,daily_steps,bmr,tdee,weekly_fat_loss_kg
56,female,169.8,76.6,5,2298,167.9,7908,1386.44,2537.01,0.1761
46,male,173.9,76.1,0,2217,121.2,9363,1622.3,2164.91,-0.0511
32,female,160.5,71.4,2,2341,118.6,7596,1396.05,2049.37,-0.2599
60,male,195.6,101.7,4,1563,194.5,1529,1944.53,3014.02,1.3208
25,female,170.3,95.8,0,2332,165.8,10449,1736.45,2356.19,0.0617
38,male,178.1,83.1,4,1937,188.0,12675,1759.38,3110.79,1.0623
56,male,179.7,80.0,1,2031,150.0,10710,1648.31,2551.92,0.4166
36,male,189.7,72.6,4,2423,159.7,1000,1736.41,2691.44,0.3501
40,female,173.2,71.9,2,2246,142.3,8627,1440.24,2161.68,-0.0973
28,male,171.2,76.0,0,2123,165.2,6333,1695.23,2100.92,0.0091
28,female,145.0,59.5,7,1306,103.1,4789,1200.54,2281.04,0.8416
41,male,176.6,74.6,5,1984,166.4,7806,1649.59,2985.85,0.9181
53,female,160.5,84.8,7,1725,142.0,7127,1424.9,2813.67,0.9655
57,male,191.1,86.2,2,2249,167.8,8771,1776.31,2630.97,0.2627
41,female,161.4,73.6,6,2347,118.7,7641,1378.09,2509.26,0.1392
20,male,169.8,71.0,2,1894,133.2,4697,1675.98,2304.47,0.3714
39,male,172.0,86.8,6,1767,149.2,6058,1753.47,3077.63,1.1853
19,male,177.5,78.2,0,2545,130.3,5655,1801.29,2194.3,-0.3113
41,male,186.8,79.9,5,1789,189.1,3208,1766.22,3046.73,1.1354
61,female,165.1,61.6,2,1582,96.2,4070,1182.04,1625.3,0.0415
47,male,172.5,77.1,7,1709,168.7,6972,1619.16,3175.0,1.3382
55,female,155.5,65.5,6,1806,156.3,11059,1191.13,2357.65,0.5007
19,male,172.6,91.1,5,1699,129.4,6161,1900.22,3335.93,1.4834
38,female,179.1,95.3,3,2296,200.1,5606,1721.92,2699.28,0.3399
50,male,172.0,67.5,3,1231,111.6,4546,1505.57,2333.64,1.0205
29,male,173.4,69.1,3,1691,99.5,7576,1634.57,2662.38,0.8745
39,female,150.4,65.5,4,1983,118.1,10448,1238.91,2192.71,0.1794
61,male,171.6,70.7,2,2074,165.1,12506,1479.65,2409.82,0.321
42,male,166.9,76.8,0,2592,108.5,8213,1606.32,2088.24,-0.4517
44,female,165.4,71.8,7,2541,142.8,7849,1371.05,2747.45,0.1669
59,female,155.3,72.1,0,1440,137.1,6141,1235.39,1539.52,0.1282
45,male,180.6,89.4,4,1332,203.2,6558,1802.52,2871.81,1.364
33,male,179.2,72.1,0,2009,107.1,9072,1681.5,2221.4,0.1624
32,female,158.7,79.4,6,1764,165.2,6712,1464.75,2612.29,0.7909
64,male,176.6,73.6,3,1583,153.2,7094,1524.86,2468.24,0.8575
61,male,171.8,94.5,7,2006,195.6,7436,1719.26,3388.39,1.2397
20,male,177.6,92.9,2,2081,217.6,6022,1943.7,2723.69,0.5969
54,female,161.9,71.9,0,1706,159.9,7312,1299.89,1675.47,-0.0639
24,female,163.4,65.8,0,1782,94.9,2451,1398.52,1678.22,-0.1218
38,male,177.0,70.4,1,1733,131.7,8872,1624.95,2427.91,0.6654
26,male,184.3,89.9,1,1856,161.7,13379,1925.78,3066.9,1.1118
56,male,180.5,81.0,1,2190,138.5,6119,1663.35,2343.06,0.1745
35,female,159.8,79.3,2,1623,146.9,8434,1456.07,2173.79,0.5335
21,male,173.0,95.5,3,1776,170.4,9628,1936.34,3232.72,1.2618
42,male,164.2,67.7,5,1860,124.1,10700,1498.35,2869.66,0.8818
31,female,157.9,61.2,3,1998,145.7,6839,1283.34,2081.13,0.0841
26,male,179.5,82.3,7,2097,122.6,2991,1820.44,3458.83,1.1875
43,female,165.8,83.8,3,2715,194.5,8168,1498.04,2480.36,-0.2447
19,male,185.3,75.9,2,2200,142.7,7821,1826.92,2653.07,0.4545
